,Pathway,N,DE,P.DE
hsa00010,Glycolysis / Gluconeogenesis,67,1,0.166643073821278
hsa00020,Citrate cycle (TCA cycle),30,0,1
hsa00030,Pentose phosphate pathway,31,0,1
hsa00040,Pentose and glucuronate interconversions,36,0,1
hsa00051,Fructose and mannose metabolism,34,0,1
hsa00052,Galactose metabolism,32,0,1
hsa00053,Ascorbate and aldarate metabolism,30,0,1
hsa00061,Fatty acid biosynthesis,18,0,1
hsa00062,Fatty acid elongation,28,0,1
hsa00071,Fatty acid degradation,43,0,1
hsa00100,Steroid biosynthesis,20,0,1
hsa00120,Primary bile acid biosynthesis,17,0,1
hsa00130,Ubiquinone and other terpenoid-quinone biosynthesis,12,0,1
hsa00140,Steroid hormone biosynthesis,63,0,1
hsa00190,Oxidative phosphorylation,138,0,1
hsa00220,Arginine biosynthesis,23,0,1
hsa00230,Purine metabolism,128,0,1
hsa00232,Caffeine metabolism,6,0,1
hsa00240,Pyrimidine metabolism,58,0,1
hsa00250,Alanine_aspartate and glutamate metabolism,37,0,1
hsa00260,Glycine_serine and threonine metabolism,41,0,1
hsa00270,Cysteine and methionine metabolism,52,1,0.131824037052339
hsa00280,Valine_leucine and isoleucine degradation,48,0,1
hsa00290,Valine_leucine and isoleucine biosynthesis,4,0,1
hsa00310,Lysine degradation,63,0,1
hsa00330,Arginine and proline metabolism,50,0,1
hsa00340,Histidine metabolism,22,0,1
hsa00350,Tyrosine metabolism,36,0,1
hsa00360,Phenylalanine metabolism,16,0,1
hsa00380,Tryptophan metabolism,42,0,1
hsa00400,Phenylalanine_tyrosine and tryptophan biosynthesis,6,0,1
hsa00410,beta-Alanine metabolism,31,0,1
hsa00430,Taurine and hypotaurine metabolism,17,0,1
hsa00440,Phosphonate and phosphinate metabolism,6,0,1
hsa00450,Selenocompound metabolism,17,0,1
hsa00470,D-Amino acid metabolism,6,0,1
hsa00480,Glutathione metabolism,59,0,1
hsa00500,Starch and sucrose metabolism,40,0,1
hsa00510,N-Glycan biosynthesis,55,0,1
hsa00511,Other glycan degradation,18,0,1
hsa00512,Mucin type O-glycan biosynthesis,36,0,1
hsa00513,Various types of N-glycan biosynthesis,43,0,1
hsa00514,Other types of O-glycan biosynthesis,47,0,1
hsa00515,Mannose type O-glycan biosynthesis,23,0,1
hsa00520,Amino sugar and nucleotide sugar metabolism,38,0,1
hsa00524,Neomycin_kanamycin and gentamicin biosynthesis,5,0,1
hsa00531,Glycosaminoglycan degradation,19,0,1
hsa00532,Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate,21,0,1
hsa00533,Glycosaminoglycan biosynthesis - keratan sulfate,14,0,1
hsa00534,Glycosaminoglycan biosynthesis - heparan sulfate / heparin,24,0,1
hsa00541,Biosynthesis of various nucleotide sugars,20,0,1
hsa00561,Glycerolipid metabolism,65,0,1
hsa00562,Inositol phosphate metabolism,73,0,1
hsa00563,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,30,0,1
hsa00564,Glycerophospholipid metabolism,103,0,1
hsa00565,Ether lipid metabolism,50,0,1
hsa00590,Arachidonic acid metabolism,63,0,1
hsa00591,Linoleic acid metabolism,30,0,1
hsa00592,alpha-Linolenic acid metabolism,26,0,1
hsa00600,Sphingolipid metabolism,55,0,1
hsa00601,Glycosphingolipid biosynthesis - lacto and neolacto series,28,0,1
hsa00603,Glycosphingolipid biosynthesis - globo and isoglobo series,16,0,1
hsa00604,Glycosphingolipid biosynthesis - ganglio series,15,0,1
hsa00620,Pyruvate metabolism,47,1,0.119910994213724
hsa00630,Glyoxylate and dicarboxylate metabolism,32,0,1
hsa00640,Propanoate metabolism,32,1,0.0832245584173141
hsa00650,Butanoate metabolism,27,0,1
hsa00670,One carbon pool by folate,39,0,1
hsa00730,Thiamine metabolism,15,0,1
hsa00740,Riboflavin metabolism,8,0,1
hsa00750,Vitamin B6 metabolism,6,0,1
hsa00760,Nicotinate and nicotinamide metabolism,38,0,1
hsa00770,Pantothenate and CoA biosynthesis,21,0,1
hsa00780,Biotin metabolism,3,0,1
hsa00785,Lipoic acid metabolism,20,0,1
hsa00790,Folate biosynthesis,28,0,1
hsa00830,Retinol metabolism,68,0,1
hsa00860,Porphyrin metabolism,46,0,1
hsa00900,Terpenoid backbone biosynthesis,23,0,1
hsa00910,Nitrogen metabolism,17,0,1
hsa00920,Sulfur metabolism,10,0,1
hsa00970,Aminoacyl-tRNA biosynthesis,66,0,1
hsa00980,Metabolism of xenobiotics by cytochrome P450,79,0,1
hsa00982,Drug metabolism - cytochrome P450,73,0,1
hsa00983,Drug metabolism - other enzymes,81,0,1
hsa01040,Biosynthesis of unsaturated fatty acids,27,0,1
hsa01100,Metabolic pathways,1570,1,0.990760352395743
hsa01200,Carbon metabolism,117,0,1
hsa01210,2-Oxocarboxylic acid metabolism,33,0,1
hsa01212,Fatty acid metabolism,57,0,1
hsa01230,Biosynthesis of amino acids,75,0,1
hsa01232,Nucleotide metabolism,85,0,1
hsa01240,Biosynthesis of cofactors,154,0,1
hsa01250,Biosynthesis of nucleotide sugars,37,0,1
hsa01320,Sulfur cycle,2,0,1
hsa01521,EGFR tyrosine kinase inhibitor resistance,80,0,1
hsa01522,Endocrine resistance,99,0,1
hsa01523,Antifolate resistance,30,0,1
hsa01524,Platinum drug resistance,75,0,1
hsa02010,ABC transporters,45,0,1
hsa03008,Ribosome biogenesis in eukaryotes,467,0,1
hsa03010,Ribosome,470,0,1
hsa03013,Nucleocytoplasmic transport,108,0,1
hsa03015,mRNA surveillance pathway,103,0,1
hsa03018,RNA degradation,78,0,1
hsa03020,RNA polymerase,34,0,1
hsa03022,Basal transcription factors,44,0,1
hsa03030,DNA replication,36,0,1
hsa03040,Spliceosome,235,0,1
hsa03050,Proteasome,46,0,1
hsa03060,Protein export,31,0,1
hsa03082,ATP-dependent chromatin remodeling,117,0,1
hsa03083,Polycomb repressive complex,83,0,1
hsa03250,Viral life cycle - HIV-1,64,1,0.159788121267247
hsa03260,Virion - Human immunodeficiency virus,5,0,1
hsa03264,Virion - Flavivirus and Alphavirus,6,0,1
hsa03265,Virion - Ebolavirus_Lyssavirus and Morbillivirus,12,0,1
hsa03266,Virion - Herpesvirus,9,0,1
hsa03267,Virion - Adenovirus,4,0,1
hsa03271,Virion - Rotavirus,2,1,0.00540691773703061
hsa03272,Virion - Hepatitis viruses,48,0,1
hsa03273,Virion - Lassa virus and SFTS virus,17,1,0.0450751032107722
hsa03320,PPAR signaling pathway,76,0,1
hsa03410,Base excision repair,44,1,0.112688140673729
hsa03420,Nucleotide excision repair,63,0,1
hsa03430,Mismatch repair,23,0,1
hsa03440,Homologous recombination,41,0,1
hsa03450,Non-homologous end-joining,13,0,1
hsa03460,Fanconi anemia pathway,55,0,1
hsa04010,MAPK signaling pathway,300,0,1
hsa04012,ErbB signaling pathway,86,0,1
hsa04014,Ras signaling pathway,238,0,1
hsa04015,Rap1 signaling pathway,212,1,0.441004715516476
hsa04020,Calcium signaling pathway,254,0,1
hsa04022,cGMP-PKG signaling pathway,166,0,1
hsa04024,cAMP signaling pathway,226,0,1
hsa04060,Cytokine-cytokine receptor interaction,298,2,0.192253540111239
hsa04061,Viral protein interaction with cytokine and cytokine receptor,100,2,0.0295863569203655
hsa04062,Chemokine signaling pathway,193,2,0.095216142612181
hsa04064,NF-kappa B signaling pathway,105,1,0.248964336831735
hsa04066,HIF-1 signaling pathway,110,1,0.259197439386565
hsa04068,FoxO signaling pathway,133,0,1
hsa04070,Phosphatidylinositol signaling system,98,0,1
hsa04071,Sphingolipid signaling pathway,122,0,1
hsa04072,Phospholipase D signaling pathway,149,0,1
hsa04080,Neuroactive ligand-receptor interaction,370,0,1
hsa04081,Hormone signaling,219,0,1
hsa04082,Neuroactive ligand signaling,199,0,1
hsa04110,Cell cycle,158,1,0.350871167625995
hsa04114,Oocyte meiosis,139,1,0.315965106282252
hsa04115,p53 signaling pathway,75,0,1
hsa04120,Ubiquitin mediated proteolysis,142,0,1
hsa04122,Sulfur relay system,8,0,1
hsa04130,SNARE interactions in vesicular transport,33,0,1
hsa04136,Autophagy - other,32,0,1
hsa04137,Mitophagy - animal,105,0,1
hsa04140,Autophagy - animal,169,1,0.370292811341299
hsa04141,Protein processing in endoplasmic reticulum,171,0,1
hsa04142,Lysosome,133,0,1
hsa04144,Endocytosis,252,0,1
hsa04145,Phagosome,159,1,0.352660222745078
hsa04146,Peroxisome,83,0,1
hsa04148,Efferocytosis,157,0,1
hsa04150,mTOR signaling pathway,158,0,1
hsa04151,PI3K-Akt signaling pathway,362,2,0.256614683688651
hsa04152,AMPK signaling pathway,122,0,1
hsa04210,Apoptosis,137,2,0.0524214716047719
hsa04211,Longevity regulating pathway,90,0,1
hsa04213,Longevity regulating pathway - multiple species,62,0,1
hsa04215,Apoptosis - multiple species,32,0,1
hsa04216,Ferroptosis,42,0,1
hsa04217,Necroptosis,159,1,0.352660222745078
hsa04218,Cellular senescence,157,0,1
hsa04260,Cardiac muscle contraction,87,0,1
hsa04261,Adrenergic signaling in cardiomyocytes,154,0,1
hsa04270,Vascular smooth muscle contraction,134,1,0.306484517617942
hsa04310,Wnt signaling pathway,174,0,1
hsa04330,Notch signaling pathway,62,0,1
hsa04340,Hedgehog signaling pathway,56,0,1
hsa04350,TGF-beta signaling pathway,108,0,1
hsa04360,Axon guidance,184,1,0.395881312110732
hsa04370,VEGF signaling pathway,60,0,1
hsa04371,Apelin signaling pathway,140,0,1
hsa04380,Osteoclast differentiation,143,0,1
hsa04390,Hippo signaling pathway,157,1,0.34907737465225
hsa04392,Hippo signaling pathway - multiple species,29,0,1
hsa04510,Focal adhesion,203,1,0.426865271401115
hsa04512,ECM-receptor interaction,89,1,0.215300134306128
hsa04514,Cell adhesion molecules,160,5,5.78999615090216e-05
